
#global file variables
<Header>
"path",assets/minecraft/textures/items
"path2",current/items,res/textures/items
"path3",res/mob/enderdragon
"blanks",assets/minecraft/textures/items/blanks
</Header>

#CSV:pcname,xboxname,pcpath,xboxpath
#Row 1
leather_helmet,"path","path2"
chainmail_helmet,"path","path2"
iron_helmet,"path","path2"
diamond_helmet,"path","path2"
gold_helmet,"path","path2"
flint_and_steel,"path","path2"
flint,"path","path2"
coal,"path","path2"
string,"path","path2"
seeds_wheat,"path","path2"
apple,"path","path2"
apple_golden,"path","path2"
egg,"path","path2"
sugar,"path","path2"
snowball,"path","path2"
elytra,"path","path2"

#Row 2
leather_chestplate,"path","path2"
chainmail_chestplate,"path","path2"
iron_chestplate,"path","path2"
diamond_chestplate,"path","path2"
gold_chestplate,"path","path2"
bow_standby,"path","path2"
brick,"path","path2"
iron_ingot,"path","path2"
feather,"path","path2"
wheat,"path","path2"
painting,"path","path2"
reeds,"path","path2"
bone,"path","path2"
cake,"path","path2"
slimeball,"path","path2"
broken_elytra,"path","path2"

#Row 3
leather_leggings,"path","path2"
chainmail_leggings,"path","path2"
iron_leggings,"path","path2"
diamond_leggings,"path","path2"
gold_leggings,"path","path2"
arrow,"path","path2"
end_crystal,"path","path2"
gold_ingot,"path","path2"
gunpowder,"path","path2"
bread,"path","path2"
sign,"path","path2"
door_wood,"path","path2"
door_iron,"path","path2"
bed,"path","path2"
fireball,"path","path2"
chorus_fruit,"path","path2"

#Row 4
leather_boots,"path","path2"
chainmail_boots,"path","path2"
iron_boots,"path","path2"
diamond_boots,"path","path2"
gold_boots,"path","path2"
stick,"path","path2"
compass,"path","path2"
diamond,"path","path2"
redstone_dust,"path","path2"
clay_ball,"path","path2"
paper,"path","path2"
book_normal,"path","path2"
map_filled,"path","path2"
seeds_pumpkin,"path","path2"
seeds_melon,"path","path2"
chorus_fruit_popped,"path","path2"

#Row 5
wood_sword,"path","path2"
stone_sword,"path","path2"
iron_sword,"path","path2"
diamond_sword,"path","path2"
gold_sword,"path","path2"
fishing_rod_uncast,"path","path2"
clock,"path","path2"
bowl,"path","path2"
mushroom_stew,"path","path2"
glowstone_dust,"path","path2"
bucket_empty,"path","path2"
bucket_water,"path","path2"
bucket_lava,"path","path2"
bucket_milk,"path","path2"
dye_powder_black,"path","path2"
dye_powder_gray,"path","path2"

#Row 6
wood_shovel,"path","path2"
stone_shovel,"path","path2"
iron_shovel,"path","path2"
